AS18055,Department of Human Services
AS140467,PT Kreatif Global Solusindo
AS208840,F&B Capital GmbH
AS14740,Magna5 MS LLC
AS44949,Gigacodes GmbH
AS200249,Products Up GmbH
AS137019,neuCentrIX
AS205583,PC Yellow BVBA
AS63294,DigitalFilm Tree LLC
AS28705,Cybase Limited
AS15605,Connesi S.p.A.
AS60318,VSELINK LLC
AS204702,Deutsche Windtechnik GmbH & Co. KG
AS58082,Messagenet S.p.A.
AS34156,DB Systel GmbH (German Railway)
AS38529,Reliance Industries Limited WAN Backbone Interface with ISPs in India
AS15451,DATEV eG
AS202049,Encrypted Email Finland Ltd
AS207047,Raiffeisen Bank Kosovo JSC
AS213202,Cloudnet Computing Ltd
AS10248,"Blue Ridge Bankshares, Inc."
AS43897,TECE GmbH
AS209195,CAJA DE SEGUROS REUNIDOS COMPANIA DE SEGUROS Y REASEGUROS SA
AS13781,Hopkinsville Electric System
AS45131,REANNZ Head Office
AS394637,LightChange Technologies
AS47679,GROUPE NEOTECH SAS
AS6852,UB Securities Ltd.
AS203898,Cloudflare London Office 
AS1738,OP Osuuskunta
AS213002,DH Bulut Bilisim Anonim Sirketi
AS32201,Husky Technologies
AS151544,PDWNet
AS31262,EDICOM CAPITAL S.L.
AS14725,Crawford & Company
AS35676,La Poste S.A.
AS396320,Metropolitan Airports Commission
AS11913,Elevate Homescriptions
AS39937,"LTech Solutions, Ltd."
AS49473,AZV- Südholstein AöR
AS200567,Wireless Logic mdex GmbH
AS29042,Hermes Europe GmbH
AS211727,Horst Bode Import-Export GmbH
AS210303,Hamburg Port Authority AoeR
AS50943,HHLA Hamburger Hafen und Logistik AG
AS205310,Beiersdorf Shared Services GmbH
AS47446,Barclays Bank lreland PLC
AS8240,Information System Authority
AS211793,"""Ingo Armenia"" Insurance CJSC"
AS200202,Fuze III SARL
AS43355,GATWICK AIRPORT LIMITED
AS59689,CODE40 SAS
AS29139,Maersk
AS7345,Nokia of America Corporation (fka. Alcatel-Lucent)
AS51296,Handpoint ehf
AS204706,JSC Kolesa
AS205757,The Walt Disney Company Medya Eglence Ve Tic Ltd. Sti.
AS297,National Aeronautics and Space Administration
AS34478,TUBITAK Ulusal Elektronik ve Kriptoloji Arastirrma Enstitusu
AS13138,Turk Ekonomi Bankasi Anonim Sirketi
AS34403,ING BANK ANONIM SIRKETI
AS51625,Turkish Airlines Inc.
AS208880,YAPI VE KREDI BANKASI A.S.
AS33830,Bankalararasi Kart Merkezi AS
AS202494,Turkiye Petrol Rafinerileri Anonim Sirketi TUPRAS
AS12729,HSBC BANK ANONIM SIRKETI
AS6707,D-Market Elektronik Hizmetler Tic. A.S.
AS133116,Kalgoorlie Consolidated Gold Mines
AS15248,Metaswitch Networks Corp.
AS25512,CD-Telematika a.s.
AS207112,"REN - Rede Energeticas Nacionais, S.A."
AS25717,Essity Hygiene and Health
AS9293,NTT Com Asia Limited
AS137331,PT Cloud Teknologi Nusantara
AS48918,Globalways GmbH
AS8549,Kyndryl Deutschland Aviation Industry Services GmbH
AS1660,Verizon Business
AS207994,Blockchain Creek B.V.
AS204445,DB Systel GmbH (Public WiFi)
AS215955,ALTEASYSTEMS OU
AS17904,Sri Lankan Airlines
AS37497,Network Platforms (PTY) LTD
AS39472,Arion Banki hf
AS395677,GTAA
AS398726,Cabbit Technology LLC
AS17450,PT Bank Central Asia Tbk
AS147112,PT Meetaza Prawira Media
AS39829,Iristel Romania SRL
AS215823,Spaugur ehf.
AS37725,Xyberdata
AS5536,Xyberdata
AS63515,Indonesia Network Information Center
AS135483,PT Wisesa Consulting Indonesia
AS215756,Schmitz-Werke GmbH + Co. KG
AS18796,Clubnode
