AS36692,"Cisco OpenDNS, LLC"
AS140033,INDIAN INSTITUTE OF TECHNOLOGY BHILAI
AS139057,Legend Dynasty Pte. Ltd.
AS62642,"Bigleaf Networks, Inc."
AS46181,"BCI Mississippi Broadband,LLC"
AS199535,Bet Invest LTD
AS136787,PacketHub S.A.
AS10515,Verisign Anycast US 0Z
AS210600,"PJSC ""Seligdar"""
AS10906,Núcleo de Informação e Coordenação do Ponto BR - NIC.BR
AS209403,Net Stack Ltd
AS51044,Kazuki Yamaguchi
AS12996,Domeneshop AS
AS213428,CHIEH SHENG LIN
AS400495,Packetware
AS8220,COLT
AS62153,DotIdea Solutions Inc
AS30219,"Major League Baseball Advanced Media, LP"
AS153467,Glen Eira City Council
AS399077,Tcloudnet
AS40934,Fortinet Inc.
AS394353,USC/ISI - B-root
AS207021,ipcom GmbH
AS208398,Edge Technology Plus (Yandex Serbia)
AS212934,Accuris Technologies Ltd.
AS206980,AntiDDoS Solutions LLC
AS213550,Jon Radel
AS8038,"6connect, Inc."
AS133800,PT Biznet Gio Nusantara
AS393818,Tucows.com Co.
AS153725,Tenonet (Hangzhou) Co Ltd
AS214575,"Curious Universe (Chongqing) Technology Co., Ltd"
AS207104,"""BiZone"" LLC"
AS19551,Incapsula Inc
AS32934,"Facebook, Inc."
AS29067,Hostmaster LLC
AS61165,Mountiela Services LLC
AS142269,KINA BANK
AS11374,"Panterra Networks, Inc."
AS19529,RFPT COMPANY LLC
AS10158,Kakao Corp
AS11138,BEK Communications Cooperative
AS49544,i3D.net B.V
AS44521,Jagex Limited
AS29997,"Vitalwerks Internet Solutions, LLC"
AS398385,"PhotoShelter, Inc. "
AS54334,Swiftnode LLC
AS20029,H5 Data Centers
AS208223,SHU-HAO TUNG
AS16509,"Amazon.com, Inc."
AS36444,"Liquid Web, L.L.C"
AS201910,Pragma Security SASU
AS52025,ParadoxNetworks Limited
AS13825,"Troy Cablevision, Inc."
AS14445,PeaceWeb
AS34309,Link11 GmbH
AS21928,"T-Mobile USA, Inc."
AS42,"WoodyNet, Inc."
AS27515,"Workday, Inc."
AS27647,"Weebly, Inc."
AS214405,Eyeo GmbH
AS24400,"Shanghai Mobile Communications Co.,Ltd."
AS49051,GreenHost ApS
AS44654,VIXLY AS
AS209242,Cloudflare BYOIP Customers
AS42388,ANEXIA Internetdienstleistungs GmbH
AS16276,OVH SAS
AS56908,Netnod AB
AS11045,"Sterling Communications, Inc."
AS3491,"PCCW Global, Inc."
AS397203,Verisign Anycast US 2U
AS50245,Serverel Inc.
AS212995,TAN-NET
AS9155,Quality Net General Trading & Contracting Company
AS29357,OOredOO Kuwait NMTC
AS50827,SpaceDump IT AB
AS206824,Linhua Tang
AS29789,"Reflected Networks, Inc."
AS20077,IPNetZone
AS273584,LINKED STORE BRASIL CRIACAO E DESENVOL DE SOFTWARE
AS41637,Hosting.de GmbH
AS208045,Domeneshop AS
AS396501,CIRA Canadian Internet Registration Authority Autorit Canadienne pour les enregistrements Internet
AS208260,Daniel Stocker
AS47272,HYEHOST LTD
AS208140,Elm Company PJS
AS25019,Saudi Telecom Company JSC
AS243,"L3Harris Technologies, Inc."
AS55824,NKN Core Network
AS12215,"Right Ascension, Inc."
AS25354,Entidad Publica Empresarial Red.es
AS6849,"JSC ""Ukrtelecom"""
AS394646,"Eagle Eye Networks, Inc"
AS22169,"Omnis Network, LLC"
AS208366,Stefan Pattberg trading as DENIC Services GmbH & Co. KG
AS394089,Google LLC
AS200202,Fuze III SARL
AS212196,Daniel Piekacz
AS16909,imput
AS60819,Safenames Ltd.
AS36780,ALSCO
AS53847,Cedexis Inc
AS400940,Railway
AS397444,Overkill Interbuzz LLC
AS10908,CloudfloorDNS
AS206164,Internet Utilities Europe and Asia Limited
AS399358,"Anthropic, PBC"
AS132208,NGBPS LTD
AS208759,nzt.ventures GmbH
AS6623,CBS Interactive Inc.
AS394354,Canadian Internet Registration Authority
AS49287,Melbikomas UAB
AS197000,RIPE NCC - Anycast DNS
AS212788,Edge Network Technologies Ltd
AS13335,"Cloudflare, Inc."
AS63199,"CDS Global Cloud Co., Ltd"
AS187,DNScast
AS60781,LeaseWeb Netherlands B.V.
AS42745,Safe Value Limited
AS2484,AFNIC (Association Francaise pour le Nommage Internet en Cooperation)
AS396982,Google Cloud Platform
AS141995,Contabo Asia Private Limited
AS9053,VSHosting s.r.o.
AS38452,Leo Paper Group Manufacturing Limited
AS23344,"Disney Worldwide Services, Inc."
AS60217,Beyond.pl sp. z o.o.
AS55960,Beijing Guanghuan Xinwang Digital
