AS4739,Internode Pty Ltd
AS20214,"Comcast Cable Communications, LLC"
AS3786,LG DACOM Corporation
AS33659,"Comcast Cable Communications, LLC"
AS12338,Euskaltel S.A.
AS5391,Hrvatski Telekom d.d.
AS17488,Hathway IP Over Cable Internet
AS12578,SIA Tet
AS9541,Cyber Internet Services (Pvt) Ltd.
AS9050,Orange Romania S.A.
AS8926,Moldtelecom SA
AS24560,"Bharti Airtel Ltd., Telemedia Services"
AS27747,Telecentro S.A.
AS21502,Societe Francaise Du Radiotelephone - SFR SA
AS16345,"PJSC ""Vimpelcom"""
AS12083,WideOpenWest Finance LLC
AS7016,"Comcast Cable Communications, LLC"
AS33657,"Comcast Cable Communications, LLC"
AS3209,Vodafone GmbH
AS42298,Ooredoo Q.S.C.
AS29497,MTS PJSC
AS136200,CHINANET Guangdong province Foshan MAN network
AS55430,Starhub Ltd
AS33662,"Comcast Cable Communications, LLC"
AS12301,Invitech ICT Services Kft.
AS855,Bell Canada
AS18126,"Chubu Telecommunications Company, Inc."
AS132199,Globe Telecom Inc.
AS10620,Telmex Colombia S.A.
AS4609,Companhia de Telecomunicacoes de Macau SARL
AS35819,"Etihad Etisalat, a joint stock company"
AS24444,Shandong Mobile Communication Company Limited
AS23969,TOT Public Company Limited
AS19108,Optimum
AS5610,"O2 Czech Republic, a.s."
AS4773,M1 Limited
AS33576,Digicel Jamaica
AS26615,TIM S/A
AS2497,Internet Initiative Japan Inc.
AS17506,ARTERIA Networks Corporation
AS10507,Sprint Personal Communications Systems
AS7713,PT Telkom Indonesia Tbk
AS47524,Turksat Uydu Haberlesme ve Kablo TV Isletme A.S.
AS33652,"Comcast Cable Communications, LLC"
AS38841,kbro CO. Ltd.
AS29314,VECTRA S.A.
AS16591,Google Fiber Inc.
AS133481,AIS Fibre
AS10474,Dimension Data
AS16010,Magticom Ltd.
AS33667,"Comcast Cable Communications, LLC"
AS134772,CHINANET Guangdong province Dongguan MAN network
AS9443,Vocus Retail
AS59257,Zong (CMPak Limited)
AS35805,"JSC ""Silknet"""
AS3249,Telia Eesti AS
AS10010,TOKAI Communications Corporation
AS8346,SONATEL-AS Autonomous System
AS7418,TELEFÓNICA CHILE S.A.
AS13999,"Mega Cable, S.A. de C.V."
AS7029,Windstream Communications LLC
AS6855,"Slovak Telekom, a.s."
AS7552,Viettel Group
AS6866,Cyprus Telecommunications Authority
AS6079,RCN
AS5466,Eircom Limited
AS37611,Afrihost (Pty) Ltd
AS30689,FLOW
AS15399,Wananchi Group (Kenya) Limited
AS1257,Tele2 Sverige AB
AS6400,Claro Dominican Republic
AS39608,Lanet Network Ltd
AS31514,Invest Mobile LLC
AS31163,PJSC MegaFon
AS29124,Iskratelecom JSC
AS2514,"NTT PC Communications, Inc."
AS31148,Freenet LTD
AS31133,PJSC MegaFon
AS8334,LLC SETEL
AS6057,Administracion Nacional de Telecomunicaciones
AS42682,"JSC ""ER-Telecom Holding"""
AS41164,Telia Norge AS
AS2519,ARTERIA Networks Corporation
AS2510,FUJITSU LIMITED
AS17072,TOTAL PLAY TELECOMUNICACIONES SA DE CV
AS13489,EPM Telecomunicaciones S.A. E.S.P.
AS9534,Maxis
AS36996,Telecom Namibia
AS27665,Columbus Communications Trinidad Limited.
AS13367,"Comcast Cable Communications, LLC"
AS8881,1&1 Versatel Deutschland GmbH
AS4685,"Asahi Net, Inc."
AS42772,Unitary enterprise A1
AS3212,Telemach Slovenija d.o.o.
AS24955,"JSC ""Ufanet"""
AS18116,HGC Global Communications Limited
AS31213,PJSC MegaFon
AS23860,Alliance Broadband Services Pvt. Ltd.
AS14754,Claro Guatemala (Telgua)
AS12741,Netia SA
AS12334,"R Cable y Telecable Telecomunicaciones, S.A.U."
AS56041,China Mobile communications corporation
AS31200,Novotelecom Ltd
AS29562,Vodafone West GmbH
AS132165,Connect Communications
AS8228,Societe Francaise Du Radiotelephone - SFR SA
AS39891,Saudi Telecom Company JSC
AS30036,Mediacom Communications Corp
AS12958,T2 Mobile LLC
AS53006,ALGAR TELECOM S/A
AS45011,Bredband2 AB
AS35612,EOLO S.p.A.
AS17974,PT Telekomunikasi Indonesia
AS8615,"""Central Telegraph"" Public Joint-stock Company"
AS47956,XFone 018 Ltd
AS33771,Safaricom Limited
AS29518,Bredband2 AB
AS24309,Atria Convergence Technologies
AS17421,Mobile Business Group
AS15502,Vodafone Ireland Limited
AS51207,Free Mobile SAS
AS34569,Vivacom Bulgaria EAD
AS33287,"Comcast Cable Communications, LLC"
AS31214,TIS Dialog LLC
AS18182,Sony Network Taiwan Limited
AS12989,Black HOST Ltd
AS9500,One New Zealand Group Limited
AS8447,A1 Telekom Austria AG
