AS51684,ASIACELL COMMUNICATIONS PJSC
AS327802,MILLICOM CHAD SA
AS3212,Telemach Slovenija d.o.o.
AS58075,X2com BV
AS139831,DITO TELECOMMUNITY CORP.
AS10139,"Smart Broadband, Inc."
AS132199,Globe Telecom Inc.
AS4775,Globe Telecoms
AS10750,Mark Twain Rural Telephone Co.
AS27725,"Empresa de Telecomunicaciones de Cuba, S.A."
AS199095,Citymesh Integrator NV
AS4771,Spark New Zealand Trading Ltd.
AS3303,Swisscom (Schweiz) AG
AS15796,Salt Mobile SA
AS3308,Telia Company AB (Denmark)
AS2119,Telenor Norge AS
AS16232,Telecom Italia S.p.A.
AS3269,TIM S.p.A. (fka. Telecom Italia S.p.A.)
AS30722,Vodafone Italia S.p.A.
AS1267,WIND TRE S.P.A.
AS24608,WIND TRE S.P.A.
AS3243,MEO
AS42863,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
AS2860,"NOS COMUNICACOES, S.A."
AS12353,Vodafone Portugal - Communicacoes Pessoais S.A.
AS31133,PJSC MegaFon
AS55699,PT Cemerlang Multimedia
AS202441,mts D.O.O
AS5410,Bouygues Telecom SA
AS31721,Azercell Telecom
AS328959,SO! Limited
AS12958,T2 Mobile LLC
AS133612,Vodafone Australia Pty Ltd
AS9498,Bharti Airtel Ltd.
AS41738,Cellfie Mobile LLC
AS1221,Telstra Limited
AS43925,MOLDCELL S.A.
AS24203,PT XL Axiata Tbk
AS6758,Monaco Telecom S.A.
AS9790,Two Degrees Networks Limited
AS3695,SPM TELECOM (Orange)
AS6327,Shaw Communications Inc.
AS9341,PT Indonesia Comnets Plus
AS4761,PT Indosat Tbk
AS38266,Vodafone Idea (Vodafone India)
AS18004,PT Wireless Indonesia
AS7713,PT Telkom Indonesia Tbk
AS8881,1&1 Versatel Deutschland GmbH
AS35819,"Etihad Etisalat, a joint stock company"
AS23201,TIGO Paraguay
AS133798,PT Smartfren Telecom Tbk
AS31204,ORANGE MOLDOVA S.A.
AS20365,Freedom mobile 
AS45925,ASN For Teletalk Bangladesh Ltd.
AS10030,Celcom Axiata Berhad
AS8386,Vodafone Turkey
AS138384,"Rakuten Mobile Network, Inc."
AS132618,Real Future Company Limited
AS37168,Cell C (Pty) Ltd
AS4230,Claro (Embratel)
AS37105,RAIN GROUP HOLDINGS (PTY) LTD
AS28683,SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES
AS4773,M1 Limited
AS12578,SIA Tet
AS13194,"UAB ""Bite Lietuva"""
AS201776,Miranda-Media Ltd
AS45143,SINGTEL MOBILE INTERNET SERVICE PROVIDER Singapore
AS36511,Dauphin Telecom Guadeloupe
AS263175,GUYACOM
AS31404,LYCATEL DISTRIBUTION UK LIMITED
AS23752,"Nepal Telecommunications Corporation, Internet Services,"
AS38466,U Mobile Sdn Bhd
AS34058,"Limited Liability Company ""lifecell"""
AS11139,Cable & Wireless Dominica
AS210595,Free SAS (Caribbean)
AS43733,Viva Armenia CJSC
AS36958,Cable & Wireless (Seychelles) Ltd
AS11172,"Alestra, S. de R.L. de C.V."
AS21299,Kar-Tel LLC
AS327799,VIETTEL BURUNDI SA
AS35900,Digicel Barbados Ltd
AS264645,NEW MILLENNIUM TELECOM SERVICES N.V.
AS11816,SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V.
AS6752,"ANDORRA TELECOM, S.A.U."
AS9829,BSNL (Bharat Sanchar Nigam Ltd)
AS11992,Liberty Mobile Puerto Rico Inc.
AS10010,TOKAI Communications Corporation
AS12912,T-Mobile Polska S.A.
AS21450,HOT Mobile Ltd.
AS45960,YTL COMMUNICATIONS SDN BHD
AS36866,Jamii Telecommunications Limited
AS38565,Ncell Pvt. Ltd.
AS9674,"Far EastTone Telecommunication Co., Ltd."
AS24158,"Taiwan Mobile Co., Ltd."
AS24157,Taiwan Star Telecom Corporation Limited.(Former Vibo Telecom Inc.)
AS200845,"AVATEL TELECOM, SA"
AS37517,CV  Multimedia SA
AS13122,Manx Telecom Trading Ltd
