AS1603,Henderson State University
AS16220,Civil Engineering University of Bucharest
AS16283,Lodz University of Technology
AS16286,University of Kashan
AS16292,Kermanshah University of Medical Science and Health Service
AS16308,State Educational institution for High professional education 'Southern Federal University'
AS16328,University of Architecture Civil Engineering and Geodesy
AS16393,Barry University
AS16430,University of Southern Mississippi
AS16461,The University of Texas at El Paso
AS16462,University of Victoria
AS16475,Brock University
AS16489,Webster University
AS16498,LaSalle University
AS16519,University of Colorado Denver
AS1657,University of Louisville
AS16580,Athabasca University
AS16600,University of Texas Health Science Center at Tyler
AS16643,Virginia Commonwealth University
AS16649,Interamerican University of Puerto Rico
AS167,Wesleyan University
AS16913,Loyola University New Orleans
AS16922,University of Oklahoma HSC
AS16989,"The University of Tennessee, Memphis"
AS1700,Rice University
AS17001,University of Manitoba
AS17015,Western Colorado University
AS1702,CHICAGO STATE UNIVERSITY
AS17055,University of Utah
AS17059,Almendras Communications LLC
AS1706,The University of Arizona
AS17135,Ohio University
AS17202,Florida Gulf Coast University
AS17244,McNeese State University
AS17309,Roosevelt University
AS17324,Yeshiva University
AS1736,Marquette University
AS17364,Soka University of America
AS17369,Chapman University
AS1742,Harvard University
AS17553,Bogor Agricultural University
AS1776,WU (Wirtschaftsuniversitaet Wien) - Vienna University of Economics and Business
AS17764,Hong Kong Metropolitan University
AS1777,Saint Xavier University
AS18,University of Texas at Austin
AS180,University of Michigan
AS18173,Aga Khan University
AS18188,Ateneo de Manila University
AS1826,University of Arkansas-Fort Smith
AS1832,Southern Methodist University
AS18360,Santo Tomas E-Service Providers
AS18460,Fort Hays State University
AS1851,The University of Adelaide
AS18515,University of Texas at Arlington
AS1852,University of California - Office of the President
AS18553,University of West Florida
AS18564,"St. John's University, New York"
AS186,The Catholic University of America
AS18660,Kentucky State University
AS18663,University of the Pacific
AS18682,Alabama A&M University
AS18693,University of Colorado Hospital
AS18759,Georgia Southern University
AS18777,Texas State University
AS18791,Texas Christian University
AS18795,University of La Verne
AS19096,DeSales University
AS19106,Andrews University
AS19153,The University of Tennessee at Martin
AS19184,University of Wisconsin - Eau Claire
AS1926,Tampere University Foundation
AS1929,University of Massachusetts - AMHERST
AS19321,University Medical Center
AS19342,Trinity University
AS194,University Corporation for Atmospheric Research
AS19464,Washington & Lee University
AS19473,Southwestern Adventist University
AS19564,Louisiana Tech University
AS1968,UMASSNET
AS1970,Texas A&M University
AS197451,Brno University of Technology
AS197467,Samara University named after Korolev
AS197526,ANO VO Russian New University
AS197768,"FEDERAL STATE BUDGETARY EDUCATIONAL INSTITUTION OF HIGHER EDUCATION ""NOVOSIBIRSK STATE ARCHITECTURAL AND CONSTRUCTION UNIVERSITY (SIBSTRIN)"""
AS19782,Indiana University (GigaPOP)
AS198280,Varna Free University Chernorizets Hrabar
AS198336,Cyprus University of Technology
AS198341,Consumers Cooperative Company of Employees of Esfahan Zobahan Company
AS198384,Omsk State Technical University
