saddr,saddr-raw,daddr,daddr-raw,ipid,ttl,classification,success,sport,dport,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,udp_pkt_size,data,repeat,cooldown,timestamp-str,timestamp-ts,timestamp-us
5.8.44.1,19662853,192.168.50.16,271755456,34666,244,udp,1,161.0,42766.0,,,,,113.0,3067020103300e02024a6902020800040100020103041f301d040c0000000903000896ad248c7102010c020401a0be2c0400040004003031040c0000000903000896ad248c710400a81f020237f002010002010030133011060a2b060106030f010104004103012189,0,0,2025-05-17T16:43:04.258+0200,1747492984,258526
46.16.38.1,19271726,192.168.50.16,271755456,29861,56,udp,1,161.0,47357.0,,,,,115.0,3069020103300e02024a69020208000401000201030420301e040d80000634b264f0001014217326020101020405e564040400040004003032040d80000634b264f00010142173260400a81f020237f002010002010030133011060a2b060106030f01010400410300bd1b,0,0,2025-05-17T16:43:04.258+0200,1747492984,258566
213.34.112.1,24126165,192.168.50.16,271755456,1372,249,udp,1,161.0,42643.0,,,,,113.0,3067020103300e02024a69020205dc040100020103041f301d040c80000009030028526129c8000201050204014668090400040004003031040c80000009030028526129c8000400a81f020237f002010002010030133011060a2b060106030f01010400410303c31e,0,0,2025-05-17T16:43:04.258+0200,1747492984,258606
194.69.16.249,4178593218,192.168.50.16,271755456,29189,246,udp,1,161.0,44675.0,,,,,113.0,3067020103300e02024a69020205dc040100020103041f301d040c800000090300000a8af0e4c102010a020408a97e720400040004003031040c800000090300000a8af0e4c10400a81f020237f002010002010030133011060a2b060106030f0101040041033d7d6c,0,0,2025-05-17T16:43:04.258+0200,1747492984,258639
185.117.76.1,21788089,192.168.50.16,271755456,21164,57,udp,1,161.0,44605.0,,,,,119.0,306d020103300f02024a69020300ffe30401000201030421301f040e80000a4c044275677362756e6e7902010f02040127bde00400040004003034040e80000a4c044275677362756e6e790400a820020237f002010002010030143012060a2b060106030f01010400410401595e3c,0,0,2025-05-17T16:43:04.258+0200,1747492984,258684
89.149.222.214,3604911449,192.168.50.16,271755456,22880,53,udp,1,161.0,55272.0,,,,,123.0,3071020103300f02024a69020300ffe304010002010304243022041180001f88802749287728148a67000000000201060204009e4e2c0400040004003035041180001f88802749287728148a67000000000400a81e020237f002010002010030123010060a2b060106030f0101040041020356,0,0,2025-05-17T16:43:04.258+0200,1747492984,258718
62.32.32.204,3424657470,192.168.50.16,271755456,2645,246,udp,1,161.0,51089.0,,,,,114.0,3068020103300e02024a69020205dc040100020103041f301d040c8000000903002c3311c7455002010b02040481a0710400040004003032040c8000000903002c3311c745500400a820020237f002010002010030143012060a2b060106030f01010400410404e9e129,0,0,2025-05-17T16:43:04.258+0200,1747492984,258768
37.114.88.134,2253943333,192.168.50.16,271755456,41716,247,udp,1,161.0,40348.0,,,,,113.0,3067020103300e02024a6902020800040100020103041f301d040c0000000903005087897e0b24020102020402d178180400040004003031040c0000000903005087897e0b240400a81f020237f002010002010030133011060a2b060106030f010104004103013318,0,0,2025-05-17T16:43:04.258+0200,1747492984,258808
45.135.58.1,20612909,192.168.50.16,271755456,60812,57,udp,1,161.0,46378.0,,,,,111.0,3065020103300e02024a69020205dc040100020103041e301c040b8000cda203649d99d1fd8b02012c020405168f310400040004003030040b8000cda203649d99d1fd8b0400a81f020237f002010002010030133011060a2b060106030f01010400410300d45c,0,0,2025-05-17T16:43:04.258+0200,1747492984,258856
178.217.100.1,23386546,192.168.50.16,271755456,52758,55,udp,1,161.0,39366.0,,,,,109.0,3063020103300f02024a69020300ffe3040100020103041b3019040b800000090330f70d9ee0e00201000201000400040004003030040b800000090330f70d9ee0e00400a81f020237f002010002010030133011060a2b060106030f01010400410301246f,0,0,2025-05-17T16:43:04.258+0200,1747492984,258902
